permno,adate,qdate,public_date,GProf,TICKER
27828,2017-10-31,2017-10-31,2017-12-31,0.302,HPQ
27828,2017-10-31,2017-10-31,2018-01-31,0.302,HPQ
27828,2017-10-31,2017-10-31,2018-02-28,0.302,HPQ
27828,2017-10-31,2018-01-31,2018-03-31,0.320,HPQ
27828,2017-10-31,2018-01-31,2018-04-30,0.320,HPQ
27828,2017-10-31,2018-01-31,2018-05-31,0.320,HPQ
27828,2017-10-31,2018-04-30,2018-06-30,0.322,HPQ
27828,2017-10-31,2018-04-30,2018-07-31,0.322,HPQ
27828,2017-10-31,2018-04-30,2018-08-31,0.322,HPQ
27828,2017-10-31,2018-07-31,2018-09-30,0.324,HPQ
27828,2017-10-31,2018-07-31,2018-10-31,0.324,HPQ
27828,2017-10-31,2018-07-31,2018-11-30,0.324,HPQ
27828,2018-10-31,2018-10-31,2018-12-31,0.321,HPQ
27828,2018-10-31,2018-10-31,2019-01-31,0.321,HPQ
27828,2018-10-31,2018-10-31,2019-02-28,0.321,HPQ
27828,2018-10-31,2019-01-31,2019-03-31,0.335,HPQ
27828,2018-10-31,2019-01-31,2019-04-30,0.335,HPQ
27828,2018-10-31,2019-01-31,2019-05-31,0.335,HPQ
27828,2018-10-31,2019-04-30,2019-06-30,0.338,HPQ
27828,2018-10-31,2019-04-30,2019-07-31,0.338,HPQ
27828,2018-10-31,2019-04-30,2019-08-31,0.338,HPQ
27828,2018-10-31,2019-07-31,2019-09-30,0.350,HPQ
27828,2018-10-31,2019-07-31,2019-10-31,0.350,HPQ
27828,2018-10-31,2019-07-31,2019-11-30,0.350,HPQ
27828,2019-10-31,2019-10-31,2019-12-31,0.352,HPQ
27828,2019-10-31,2019-10-31,2020-01-31,0.352,HPQ
27828,2019-10-31,2019-10-31,2020-02-29,0.352,HPQ
27828,2019-10-31,2020-01-31,2020-03-31,0.374,HPQ
27828,2019-10-31,2020-01-31,2020-04-30,0.374,HPQ
27828,2019-10-31,2020-01-31,2020-05-31,0.374,HPQ
27828,2019-10-31,2020-04-30,2020-06-30,0.362,HPQ
27828,2019-10-31,2020-04-30,2020-07-31,0.362,HPQ
27828,2019-10-31,2020-04-30,2020-08-31,0.362,HPQ
27828,2019-10-31,2020-07-31,2020-09-30,0.342,HPQ
27828,2019-10-31,2020-07-31,2020-10-31,0.342,HPQ
27828,2019-10-31,2020-07-31,2020-11-30,0.342,HPQ
27828,2020-10-31,2020-10-31,2020-12-31,0.320,HPQ
27828,2020-10-31,2020-10-31,2021-01-31,0.320,HPQ
27828,2020-10-31,2020-10-31,2021-02-28,0.320,HPQ
27828,2020-10-31,2021-01-31,2021-03-31,0.337,HPQ
27828,2020-10-31,2021-01-31,2021-04-30,0.337,HPQ
27828,2020-10-31,2021-01-31,2021-05-31,0.337,HPQ
27828,2020-10-31,2021-04-30,2021-06-30,0.362,HPQ
27828,2020-10-31,2021-04-30,2021-07-31,0.362,HPQ
27828,2020-10-31,2021-04-30,2021-08-31,0.362,HPQ
27828,2020-10-31,2021-07-31,2021-09-30,0.387,HPQ
27828,2020-10-31,2021-07-31,2021-10-31,0.387,HPQ
27828,2020-10-31,2021-07-31,2021-11-30,0.387,HPQ
27828,2021-10-31,2021-10-31,2021-12-31,0.364,HPQ
27828,2021-10-31,2021-10-31,2022-01-31,0.364,HPQ
27828,2021-10-31,2021-10-31,2022-02-28,0.364,HPQ
27828,2021-10-31,2022-01-31,2022-03-31,0.382,HPQ
27828,2021-10-31,2022-01-31,2022-04-30,0.382,HPQ
27828,2021-10-31,2022-01-31,2022-05-31,0.382,HPQ
27828,2021-10-31,2022-04-30,2022-06-30,0.365,HPQ
27828,2021-10-31,2022-04-30,2022-07-31,0.365,HPQ
27828,2021-10-31,2022-04-30,2022-08-31,0.365,HPQ
27828,2021-10-31,2022-07-31,2022-09-30,0.343,HPQ
27828,2021-10-31,2022-07-31,2022-10-31,0.343,HPQ
27828,2021-10-31,2022-07-31,2022-11-30,0.343,HPQ
27828,2022-10-31,2022-10-31,2022-12-31,0.334,HPQ
27887,2008-12-31,2009-09-30,2010-01-31,0.444,BAX
27887,2009-12-31,2009-12-31,2010-02-28,0.415,BAX
27887,2009-12-31,2009-12-31,2010-03-31,0.415,BAX
27887,2009-12-31,2009-12-31,2010-04-30,0.415,BAX
27887,2009-12-31,2010-03-31,2010-05-31,0.439,BAX
27887,2009-12-31,2010-03-31,2010-06-30,0.439,BAX
27887,2009-12-31,2010-03-31,2010-07-31,0.439,BAX
27887,2009-12-31,2010-06-30,2010-08-31,0.435,BAX
27887,2009-12-31,2010-06-30,2010-09-30,0.435,BAX
27887,2009-12-31,2010-06-30,2010-10-31,0.435,BAX
27887,2009-12-31,2010-09-30,2010-11-30,0.432,BAX
27887,2009-12-31,2010-09-30,2010-12-31,0.432,BAX
27887,2009-12-31,2010-09-30,2011-01-31,0.432,BAX
27887,2010-12-31,2010-12-31,2011-02-28,0.420,BAX
27887,2010-12-31,2010-12-31,2011-03-31,0.420,BAX
27887,2010-12-31,2010-12-31,2011-04-30,0.420,BAX
27887,2010-12-31,2011-03-31,2011-05-31,0.429,BAX
27887,2010-12-31,2011-03-31,2011-06-30,0.429,BAX
27887,2010-12-31,2011-03-31,2011-07-31,0.429,BAX
27887,2010-12-31,2011-06-30,2011-08-31,0.433,BAX
27887,2010-12-31,2011-06-30,2011-09-30,0.433,BAX
27887,2010-12-31,2011-06-30,2011-10-31,0.433,BAX
27887,2010-12-31,2011-09-30,2011-11-30,0.438,BAX
27887,2010-12-31,2011-09-30,2011-12-31,0.438,BAX
27887,2010-12-31,2011-09-30,2012-01-31,0.438,BAX
27887,2011-12-31,2011-12-31,2012-02-29,0.409,BAX
27887,2011-12-31,2011-12-31,2012-03-31,0.409,BAX
27887,2011-12-31,2011-12-31,2012-04-30,0.409,BAX
