PERMNO,date,TICKER,PRC,VOL
61399,2022-04-12,LOW,204.14000,4354856
61399,2022-04-13,LOW,205.50999,2803473
61399,2022-04-14,LOW,201.28000,4001575
61399,2022-04-18,LOW,198.52000,3800438
61399,2022-04-19,LOW,203.03999,3392926
61399,2022-04-20,LOW,208.74001,3906051
61399,2022-04-21,LOW,205.03000,3797609
61399,2022-04-22,LOW,197.06000,4216309
61399,2022-04-25,LOW,200.38000,3895913
61399,2022-04-26,LOW,199.59000,3959126
61399,2022-04-27,LOW,199.57001,3028244
61399,2022-04-28,LOW,205.14000,3250689
61399,2022-04-29,LOW,197.73000,4217600
61399,2022-05-02,LOW,203.14000,3697789
61399,2022-05-03,LOW,201.63000,3002576
61399,2022-05-04,LOW,207.16000,4452366
61399,2022-05-05,LOW,195.92000,4262901
61399,2022-05-06,LOW,192.28999,3910713
61399,2022-05-09,LOW,196.07001,3998316
61399,2022-05-10,LOW,192.13000,3638724
61399,2022-05-11,LOW,187.77000,4598202
61399,2022-05-12,LOW,191.70000,4292960
61399,2022-05-13,LOW,194.00000,2911878
61399,2022-05-16,LOW,194.73000,4405388
61399,2022-05-17,LOW,194.03000,8209965
61399,2022-05-18,LOW,183.82001,7847561
61399,2022-05-19,LOW,187.86000,5132247
61399,2022-05-20,LOW,184.69000,5722556
61399,2022-05-23,LOW,186.25000,3546848
61399,2022-05-24,LOW,184.62000,4486453
61399,2022-05-25,LOW,188.55000,3986461
61399,2022-05-26,LOW,195.53000,3338117
61399,2022-05-27,LOW,199.63000,2779220
61399,2022-05-31,LOW,195.30000,4733916
61399,2022-06-01,LOW,191.72000,3290348
61399,2022-06-02,LOW,196.13000,3359184
61399,2022-06-03,LOW,195.45000,2262787
61399,2022-06-06,LOW,196.77000,2691594
61399,2022-06-07,LOW,195.64999,3269772
61399,2022-06-08,LOW,192.45000,2775810
61399,2022-06-09,LOW,194.28000,2999674
61399,2022-06-10,LOW,186.33000,3565302
61399,2022-06-13,LOW,181.25999,3899277
61399,2022-06-14,LOW,177.94000,4037325
61399,2022-06-15,LOW,179.00999,4127799
61399,2022-06-16,LOW,171.61000,5536507
61399,2022-06-17,LOW,172.47000,8498950
61399,2022-06-21,LOW,172.38000,4753347
61399,2022-06-22,LOW,173.60001,4437993
61399,2022-06-23,LOW,176.33000,3611682
61399,2022-06-24,LOW,182.84000,5346188
61399,2022-06-27,LOW,184.22000,2829378
61399,2022-06-28,LOW,174.72000,4992125
61399,2022-06-29,LOW,176.10001,2802682
61399,2022-06-30,LOW,174.67000,4415419
61399,2022-07-01,LOW,177.36000,3095545
61399,2022-07-05,LOW,179.88000,3227129
61399,2022-07-06,LOW,179.06000,2177656
61399,2022-07-07,LOW,181.57001,2935689
61399,2022-07-08,LOW,181.63000,2024782
61399,2022-07-11,LOW,180.11000,2285164
61399,2022-07-12,LOW,181.00000,3184728
61399,2022-07-13,LOW,182.37000,2935421
61399,2022-07-14,LOW,182.66000,3262080
61399,2022-07-15,LOW,185.00000,2901426
61399,2022-07-18,LOW,185.78999,2965993
61399,2022-07-19,LOW,188.78000,2683876
61399,2022-07-20,LOW,191.03000,2427275
61399,2022-07-21,LOW,193.56000,3266101
61399,2022-07-22,LOW,195.58000,3329487
61399,2022-07-25,LOW,194.80000,2492199
61399,2022-07-26,LOW,188.60001,3647204
61399,2022-07-27,LOW,189.92000,3714121
61399,2022-07-28,LOW,190.80000,6034590
61399,2022-07-29,LOW,191.53000,4507128
61399,2022-08-01,LOW,194.09000,3349467
61399,2022-08-02,LOW,187.95000,3401823
61399,2022-08-03,LOW,195.42000,3292746
61399,2022-08-04,LOW,197.16000,3534251
61399,2022-08-05,LOW,199.08000,2409730
61399,2022-08-08,LOW,201.84000,3042755
61399,2022-08-09,LOW,195.20000,3914537
61399,2022-08-10,LOW,201.42999,4094417
61399,2022-08-11,LOW,202.17999,3337506
61399,2022-08-12,LOW,206.47000,3014054
61399,2022-08-15,LOW,208.03999,4075486
61399,2022-08-16,LOW,214.12000,5892219
61399,2022-08-17,LOW,215.37000,8082124
61399,2022-08-18,LOW,216.47000,3011833
61399,2022-08-19,LOW,211.36000,3347472
61399,2022-08-22,LOW,209.99001,4136594
61399,2022-08-23,LOW,207.47000,2533885
61399,2022-08-24,LOW,208.41000,2634446
61399,2022-08-25,LOW,210.96001,2634866
61399,2022-08-26,LOW,200.99001,3720486
61399,2022-08-29,LOW,201.07001,3273815
61399,2022-08-30,LOW,197.22000,3906978
61399,2022-08-31,LOW,194.14000,5145146
61399,2022-09-01,LOW,195.75999,3462176
61399,2022-09-02,LOW,195.50999,3165925
61399,2022-09-06,LOW,192.96001,3128847
61399,2022-09-07,LOW,201.30000,4086611
61399,2022-09-08,LOW,204.38000,3564194
61399,2022-09-09,LOW,205.64999,3176502
61399,2022-09-12,LOW,206.39999,3218785
61399,2022-09-13,LOW,193.63000,4441373
61399,2022-09-14,LOW,192.39000,3963670
61399,2022-09-15,LOW,191.03999,3309679
61399,2022-09-16,LOW,191.81000,10187849
61399,2022-09-19,LOW,195.10001,3351878
61399,2022-09-20,LOW,190.41000,3650226
61399,2022-09-21,LOW,188.36000,2925726
61399,2022-09-22,LOW,188.12000,2864643
61399,2022-09-23,LOW,188.13000,3382504
61399,2022-09-26,LOW,186.02000,2938703
61399,2022-09-27,LOW,187.67000,3866498
61399,2022-09-28,LOW,194.53000,5384929
61399,2022-09-29,LOW,190.46001,3622750
61399,2022-09-30,LOW,187.81000,6049011
61399,2022-10-03,LOW,193.92000,4346473
61399,2022-10-04,LOW,197.42000,4139074
61399,2022-10-05,LOW,199.03000,3196077
61399,2022-10-06,LOW,199.98000,3305087
61399,2022-10-07,LOW,197.21001,3467037
61399,2022-10-10,LOW,194.89999,2449746
61399,2022-10-11,LOW,196.42999,2765991
61399,2022-10-12,LOW,193.87000,2354000
61399,2022-10-13,LOW,193.16000,4851092
61399,2022-10-14,LOW,188.96001,4143263
61399,2022-10-17,LOW,194.09000,3504756
61399,2022-10-18,LOW,193.20000,3804253
61399,2022-10-19,LOW,183.94000,5362452
61399,2022-10-20,LOW,178.30000,4095592
61399,2022-10-21,LOW,182.37000,3583575
61399,2022-10-24,LOW,187.61000,3705003
61399,2022-10-25,LOW,193.85001,3245708
61399,2022-10-26,LOW,193.55000,2567321
61399,2022-10-27,LOW,193.66000,2457637
61399,2022-10-28,LOW,198.73000,3292225
61399,2022-10-31,LOW,194.95000,3550336
61399,2022-11-01,LOW,193.55000,3260207
61399,2022-11-02,LOW,185.71001,4539660
61399,2022-11-03,LOW,179.82001,4187460
61399,2022-11-04,LOW,182.14999,4623564
61399,2022-11-07,LOW,186.56000,2715511
61399,2022-11-08,LOW,188.36000,2880906
61399,2022-11-09,LOW,186.63000,3007351
61399,2022-11-10,LOW,204.32001,4837244
61399,2022-11-11,LOW,209.02000,4272464
61399,2022-11-14,LOW,204.66000,4164981
61399,2022-11-15,LOW,208.84000,5127810
61399,2022-11-16,LOW,215.13000,8173082
61399,2022-11-17,LOW,208.39999,3509736
61399,2022-11-18,LOW,209.92999,2912756
61399,2022-11-21,LOW,210.27000,2326785
61399,2022-11-22,LOW,214.47000,2845905
61399,2022-11-23,LOW,211.02000,2593950
61399,2022-11-25,LOW,210.97000,975678
61399,2022-11-28,LOW,209.03999,2202367
61399,2022-11-29,LOW,207.47000,1980888
61399,2022-11-30,LOW,212.55000,4701568
61399,2022-12-01,LOW,215.48000,2735131
61399,2022-12-02,LOW,214.84000,3242449
61399,2022-12-05,LOW,206.17999,3308476
61399,2022-12-06,LOW,201.91000,3627519
61399,2022-12-07,LOW,206.89000,3999395
61399,2022-12-08,LOW,203.56000,3150188
61399,2022-12-09,LOW,201.77000,3226910
61399,2022-12-12,LOW,205.08000,2720027
61399,2022-12-13,LOW,211.22000,4168645
61399,2022-12-14,LOW,212.11000,3727712
61399,2022-12-15,LOW,208.02000,3374053
61399,2022-12-16,LOW,206.14000,9543471
61399,2022-12-19,LOW,203.17000,2442444
61399,2022-12-20,LOW,200.86000,2372187
61399,2022-12-21,LOW,202.42999,2345410
61399,2022-12-22,LOW,199.14999,2414946
61399,2022-12-23,LOW,201.88000,1469299
61399,2022-12-27,LOW,201.71001,2076600
61399,2022-12-28,LOW,200.06000,1419898
61399,2022-12-29,LOW,202.25999,1270947
61399,2022-12-30,LOW,199.24001,2154647
64186,2000-01-31,CI,71.75000,423400
64186,2000-02-01,CI,71.87500,407000
64186,2000-02-02,CI,73.75000,1113899
64186,2000-02-03,CI,74.81250,1053799
64186,2000-02-04,CI,75.87500,770000
64186,2000-02-07,CI,76.25000,714400
64186,2000-02-08,CI,74.75000,1155599
64186,2000-02-09,CI,77.00000,1787699
64186,2000-02-10,CI,78.87500,1297000
64186,2000-02-11,CI,79.87500,1033200
64186,2000-02-14,CI,79.93750,449900
64186,2000-02-15,CI,79.31250,1151000
64186,2000-02-16,CI,78.81250,1237299
64186,2000-02-17,CI,79.50000,804100
64186,2000-02-18,CI,77.00000,981200
64186,2000-02-22,CI,75.81250,875800
64186,2000-02-23,CI,75.00000,1153599
64186,2000-02-24,CI,73.00000,973100
64186,2000-02-25,CI,72.00000,824200
64186,2000-02-28,CI,73.87500,1013600
64186,2000-02-29,CI,73.81250,962000
64186,2000-03-01,CI,72.37500,2031299
64186,2000-03-02,CI,70.06250,929700
64186,2000-03-03,CI,71.25000,856700
64186,2000-03-06,CI,68.68750,656200
64186,2000-03-07,CI,65.56250,1019700
64186,2000-03-08,CI,64.68750,761500
64186,2000-03-09,CI,64.00000,898800
64186,2000-03-10,CI,63.75000,685200
64186,2000-03-13,CI,61.18750,846800
64186,2000-03-14,CI,61.37500,809900
64186,2000-03-15,CI,65.06250,1160699
64186,2000-03-16,CI,66.00000,1905199
64186,2000-03-17,CI,63.06250,2372799
64186,2000-03-20,CI,65.00000,1276500
64186,2000-03-21,CI,70.18750,1461699
64186,2000-03-22,CI,71.43750,1317299
64186,2000-03-23,CI,73.12500,980100
64186,2000-03-24,CI,76.25000,983500
64186,2000-03-27,CI,75.25000,975900
